Category ID,Category Title,Channel ID,Assignable
1,Film & Animation,UCBR8-60-B28hp2BmDPdntcQ,True
2,Autos & Vehicles,UCBR8-60-B28hp2BmDPdntcQ,True
10,Music,UCBR8-60-B28hp2BmDPdntcQ,True
15,Pets & Animals,UCBR8-60-B28hp2BmDPdntcQ,True
17,Sports,UCBR8-60-B28hp2BmDPdntcQ,True
18,Short Movies,UCBR8-60-B28hp2BmDPdntcQ,False
19,Travel & Events,UCBR8-60-B28hp2BmDPdntcQ,True
20,Gaming,UCBR8-60-B28hp2BmDPdntcQ,True
21,Videoblogging,UCBR8-60-B28hp2BmDPdntcQ,False
22,People & Blogs,UCBR8-60-B28hp2BmDPdntcQ,True
23,Comedy,UCBR8-60-B28hp2BmDPdntcQ,True
24,Entertainment,UCBR8-60-B28hp2BmDPdntcQ,True
25,News & Politics,UCBR8-60-B28hp2BmDPdntcQ,True
26,Howto & Style,UCBR8-60-B28hp2BmDPdntcQ,True
27,Education,UCBR8-60-B28hp2BmDPdntcQ,True
28,Science & Technology,UCBR8-60-B28hp2BmDPdntcQ,True
30,Movies,UCBR8-60-B28hp2BmDPdntcQ,False
31,Anime/Animation,UCBR8-60-B28hp2BmDPdntcQ,False
32,Action/Adventure,UCBR8-60-B28hp2BmDPdntcQ,False
33,Classics,UCBR8-60-B28hp2BmDPdntcQ,False
34,Comedy,UCBR8-60-B28hp2BmDPdntcQ,False
35,Documentary,UCBR8-60-B28hp2BmDPdntcQ,False
36,Drama,UCBR8-60-B28hp2BmDPdntcQ,False
37,Family,UCBR8-60-B28hp2BmDPdntcQ,False
38,Foreign,UCBR8-60-B28hp2BmDPdntcQ,False
39,Horror,UCBR8-60-B28hp2BmDPdntcQ,False
40,Sci-Fi/Fantasy,UCBR8-60-B28hp2BmDPdntcQ,False
41,Thriller,UCBR8-60-B28hp2BmDPdntcQ,False
42,Shorts,UCBR8-60-B28hp2BmDPdntcQ,False
43,Shows,UCBR8-60-B28hp2BmDPdntcQ,False
44,Trailers,UCBR8-60-B28hp2BmDPdntcQ,False
